i,j,lb,ub_min_x,nc,rfr,rsr,ub_ext_1,ub_none,ub_bad,ub_ext_21,ub_ext_22,ub_ext_23,ub_ext_25,ub_ext_3,ub_ext_4
5,10,70,73.3618593,1.5,0.5,0.2,73.69245336,75.67513871,75.67513871,73.7604351,73.76042147,73.37317584,74.05616341,73.3531381,73.35091429
6,1,59,62.9049771,1.5,0.5,0.5,62.94188924,64.21313986,64.21313986,62.18722433,62.10547766,62.41969993,62.56358328,62.3497814,62.34978135
6,2,51,54.9378854,1.5,0.5,0.5,54.98378202,56.93371917,56.93371917,55.11263506,54.81151783,54.73035502,54.75271435,54.6583944,54.65839437
6,3,48,51.4945129,1.5,0.5,0.5,51.49451289,53.04984769,53.04984769,51.78111434,51.67682785,51.50042908,51.43459057,51.387973,51.38797296
6,4,42,45.9078241,1.5,0.5,0.5,45.90782411,47.27078724,47.27078724,46.03516985,45.79949817,45.74162455,45.88995314,45.7611759,45.76117591
6,5,67,69.1620218,1.5,0.5,0.5,69.16202175,72.26040765,72.26040765,69.9325906,69.87812716,69.59796208,69.2006782,69.0273228,69.02732283
6,6,37,39.796223,1.5,0.5,0.5,40.30426541,42.37387228,42.37387228,39.78481169,39.71943968,39.64339339,39.67720884,39.8144696,39.61508616
6,7,46,49.5441238,1.5,0.5,0.5,49.59986028,51.1158446,51.1158446,49.79610333,49.65169995,49.6155754,49.58587311,49.567253,49.53759977
6,8,39,43.3429221,1.5,0.5,0.5,43.34292211,44.69068421,44.69068421,43.45524746,43.42910843,43.36222821,43.40200832,43.2645895,43.15882603
6,9,51,54.0608783,1.5,0.5,0.5,53.65059864,56.43179118,56.43179118,53.75327383,53.67278941,53.65836234,53.74889582,53.649922,53.64992203
6,10,61,65.6944893,1.5,0.5,0.5,65.69448927,67.21526683,67.21526683,65.84597556,65.60162072,65.68170198,65.70427247,65.6354669,65.62476667
7,1,55,57.3850495,1.5,0.5,0.7,57.15985198,58.63032863,58.63032863,57.38255657,57.07723135,56.81216049,56.72386044,56.8721106,56.66509433
7,2,42,44.8975247,1.5,0.5,0.7,44.89752469,46.77627473,46.77627473,45.01859839,44.77188962,45.16413008,44.8748319,44.4929617,44.51913841
7,3,42,45.2094785,1.5,0.5,0.7,44.99447268,47.90669246,47.90669246,45.18686487,45.11931136,45.13581001,44.96030146,45.0042092,45.00420924
7,4,44,47.6435265,1.5,0.5,0.7,47.65515318,48.76239421,48.76239421,47.46608051,47.41132658,47.4041428,47.31270048,47.6435265,47.31405954
7,5,44,47.9764718,1.5,0.5,0.7,47.98047085,49.93932943,49.93932943,47.79965463,47.69926322,47.57184536,47.97193206,47.4923373,47.49233729
7,6,35,36.2599577,1.5,0.5,0.7,36.24913914,39.40746846,39.40746846,36.76786205,36.55283228,36.44557389,36.34222866,36.0250763,36.02673194
7,7,50,53.0889531,1.5,0.5,0.7,52.98252212,55.1293061,55.1293061,53.60351624,53.18444877,53.09400029,53.05713404,53.0616235,53.05451088
7,8,44,46.8280177,1.5,0.5,0.7,47.40556852,48.72382096,48.72382096,47.41241145,46.69796425,46.46976073,46.40294789,46.429188,46.42879785
7,9,60,63.0277455,1.5,0.5,0.7,62.82226557,64.36072405,64.36072405,62.37272973,62.32815457,62.57221394,62.67045418,62.2750588,62.23429363
7,10,49,52.5302462,1.5,0.5,0.7,52.5258365,54.08788259,54.08788259,52.32342862,52.24608386,52.144846,52.13448759,52.0408329,52.04051582
8,1,44,45.9804967,1.5,0.5,1,45.58547506,49.032465,49.032465,46.86242055,45.97117544,46.0912858,45.6781142,45.1879275,45.18792752
8,2,51,53.1677031,1.5,0.5,1,52.60051896,56.77917752,56.77917752,53.14298046,52.9058909,52.8736667,52.60040004,52.4434508,52.44361982
